iter	Logloss
0	0.6320578346
1	0.5892034649
2	0.5580313504
3	0.5374834109
4	0.514854682
5	0.5001850799
6	0.486766343
7	0.4771624968
8	0.4684839544
9	0.4608137167
10	0.4529306281
11	0.4482162053
12	0.4442502699
13	0.4405968504
14	0.438203805
15	0.4345864092
16	0.4317259365
17	0.4295563592
18	0.4280486784
19	0.4265579051
20	0.4251741109
21	0.4240088062
22	0.4228639377
23	0.4214921306
24	0.4201895588
25	0.4193910606
26	0.4182303223
27	0.4173589182
28	0.4167291434
29	0.4162185964
30	0.4155020875
31	0.4148476942
32	0.4143184267
33	0.413245667
34	0.4127904072
35	0.4125443477
36	0.4120791252
37	0.4117513388
38	0.4114655165
39	0.4110815206
40	0.4106881284
41	0.4102295471
42	0.4100074156
43	0.4096089505
44	0.4092948083
45	0.4089094862
46	0.4085920111
47	0.4083612925
48	0.4081525425
49	0.4079333341
50	0.4075704345
51	0.4074383257
52	0.4071750636
53	0.4068004223
54	0.406516457
55	0.4062418712
56	0.4060616527
57	0.4058199941
58	0.4056543311
59	0.4054880102
60	0.4052466139
61	0.4051010157
62	0.4048638373
63	0.4046489819
64	0.4043745115
65	0.4041874094
66	0.4040725895
67	0.4039865495
68	0.4038472474
69	0.40368961
70	0.4034244364
71	0.4031525963
72	0.4027789012
73	0.4025831647
74	0.4024526656
75	0.4022637289
76	0.4019723515
77	0.4018614744
78	0.4016858322
79	0.4015190503
80	0.4013701049
81	0.4012456085
82	0.4010301616
83	0.400933602
84	0.4007662696
85	0.4005966975
86	0.400461223
87	0.4002672754
88	0.4000132639
89	0.3997628648
90	0.3995454425
91	0.3992220369
92	0.3989300949
93	0.3987061237
94	0.3984925477
95	0.3982593463
96	0.3980569216
97	0.3979012442
98	0.3975647306
99	0.3973612001
100	0.3971668789
101	0.3969379635
102	0.3966256224
103	0.3964942378
104	0.3962751378
105	0.3961046359
106	0.3959479491
107	0.3958099897
108	0.3955065409
109	0.3952544664
110	0.3949803508
111	0.3947583602
112	0.3946462597
113	0.3944352858
114	0.3942390875
115	0.3940378048
116	0.3939140132
117	0.3937907361
118	0.3934819794
119	0.3933310476
120	0.39321338
121	0.3930410191
122	0.3929418412
123	0.3926826902
124	0.3924503468
125	0.3921982394
126	0.3920525387
127	0.391916306
128	0.391797766
129	0.3916364823
130	0.3913867998
131	0.3912209007
132	0.3910377231
133	0.3908837311
134	0.3906499346
135	0.3905398011
136	0.3903641638
137	0.3902488293
138	0.3900792551
139	0.3898614883
140	0.3896545628
141	0.3894440871
142	0.3891013358
143	0.3888186846
144	0.388679939
145	0.3884776241
146	0.3882788995
147	0.3880923838
148	0.3878870501
149	0.3876553576
150	0.387493227
151	0.387194347
152	0.3870667136
153	0.3869127287
154	0.3867364106
155	0.3865320016
156	0.386440911
157	0.3862680304
158	0.3860535209
159	0.3858108923
160	0.3856982414
161	0.3854957741
162	0.3852249964
163	0.3850143781
164	0.384810776
165	0.3845443546
166	0.3844093309
167	0.3842720334
168	0.3841182028
169	0.3840017122
170	0.3837738552
171	0.3836248872
172	0.3834501784
173	0.3832663505
174	0.3830260069
175	0.3828069585
176	0.382729394
177	0.3826431254
178	0.382458593
179	0.3823211691
180	0.3821790911
181	0.3820438692
182	0.3819235803
183	0.3817389681
184	0.3816097554
185	0.381410987
186	0.3812717908
187	0.3811075122
188	0.3810204737
189	0.3808813551
190	0.3807089418
191	0.3806311637
192	0.3805359122
193	0.3803988156
194	0.3801478664
195	0.3799492472
196	0.379833067
197	0.3796583436
198	0.3795286469
199	0.3793564175
