iter	Passed	Remaining
0	2	491
1	4	485
2	7	515
3	10	501
4	12	503
5	15	499
6	17	490
7	20	481
8	23	498
9	27	517
10	30	522
11	32	515
12	35	506
13	38	509
14	41	511
15	44	511
16	47	513
17	50	506
18	52	503
19	56	509
20	59	506
21	62	502
22	64	499
23	67	494
24	70	493
25	73	488
26	75	486
27	78	482
28	81	478
29	83	472
30	87	474
31	89	471
32	92	468
33	95	465
34	97	459
35	99	454
36	102	452
37	105	448
38	107	444
39	110	442
40	113	439
41	116	437
42	119	435
43	121	432
44	124	428
45	126	424
46	128	419
47	131	416
48	134	414
49	138	415
50	141	413
51	143	409
52	146	405
53	149	404
54	152	402
55	155	398
56	157	394
57	159	391
58	163	389
59	166	387
60	168	384
61	171	381
62	173	378
63	176	374
64	179	372
65	182	370
66	184	366
67	187	363
68	189	360
69	192	356
70	195	355
71	198	353
72	201	350
73	204	348
74	207	345
75	209	342
76	213	340
77	215	337
78	219	335
79	222	333
80	225	331
81	229	329
82	232	327
83	234	324
84	237	321
85	239	317
86	242	315
87	245	312
88	248	309
89	251	307
90	253	303
91	256	300
92	259	298
93	261	294
94	264	292
95	267	289
96	269	286
97	272	283
98	276	282
99	279	279
100	282	277
101	285	274
102	287	271
103	291	268
104	293	265
105	296	263
106	299	260
107	302	257
108	304	254
109	308	252
110	310	249
111	314	246
112	316	243
113	318	240
114	322	238
115	325	235
116	327	232
117	330	229
118	333	226
119	335	223
120	338	221
121	341	218
122	344	215
123	347	212
124	349	209
125	352	207
126	355	204
127	358	201
128	361	198
129	364	196
130	366	193
131	368	190
132	372	187
133	374	184
134	377	181
135	380	178
136	382	175
137	386	173
138	390	171
139	393	168
140	396	165
141	399	163
142	403	160
143	406	158
144	409	155
145	412	152
146	415	149
147	419	147
148	421	144
149	424	141
150	428	138
151	431	136
152	434	133
153	437	130
154	441	128
155	444	125
156	447	122
157	451	119
158	453	117
159	457	114
160	460	111
161	463	108
162	466	105
163	470	103
164	473	100
165	476	97
166	479	94
167	483	92
168	486	89
169	489	86
170	492	83
171	496	80
172	500	78
173	503	75
174	506	72
175	509	69
176	513	66
177	516	63
178	520	61
179	523	58
180	526	55
181	530	52
182	534	49
183	537	46
184	540	43
185	544	40
186	547	38
187	551	35
188	554	32
189	557	29
190	561	26
191	564	23
192	567	20
193	570	17
194	573	14
195	577	11
196	580	8
197	583	5
198	586	2
199	589	0
